WORD	PHONETICS
----------------------------------------
straightforward	stretfɔrwərd
summit	sʌmɪt
cheapen	tʃipən
simmer	sɪmər
nitrous	naɪtrəs
dismount	dɪsmaʊnt
condition	kəndɪʃən
poniard	ponjərd
talisman	tælɪzmən
carryall	kæriɔl
nostril	nɑstrəl
sinecure	saɪnɪkjʊr
wakeful	weɪkfəl
disarm	dɪsɑrm
temporality	tɛmpərælɪti
fawn	fɔn
beneficent	bənɛfɪsənt
final	faɪnəl
effusive	ɪfjusɪv
vitrifaction	vɪtrɪfækʃən
unaccountable	ʌnəkaʊntəbəl
depreciation	dɪpriʃieɪʃən
subtle	sʌtəl
grit	grɪt
incentive	ɪnsɛntɪv
stoicism	stoʊɪsɪzəm
repentant	rɪpɛntənt
bridge	brɪdʒ
hurdle	hərdəl
purchasable	pərtʃəsəbəl
ample	æmpəl
blink	blɪŋk
garish	gærɪʃ
flirt	flərt
ostracize	ɑstrəsaɪz
colorable	kʌlərəbəl
attenuate	ətɛnjueɪt
crazy	kreɪzi
hazard	hæzərd
perennial	pərɛniəl
drowsy	draʊzi
inexpressible	ɪnɪksprɛsəbəl
incandescent	ɪnkændɛsənt
radish	rædɪʃ
snag	snæg
passenger	pæsəndʒər
warrior	wɔriər
pin	pɪn
renowned	rɪnaʊnd
triangularity	traɪæŋgjulærɪti
postgraduate	pəʊstgrædʒuət
guard	gɑrd
expressage	ɪksprɛsɪdʒ
mature	mətʃʊr
illiberal	ɪlɪbərəl
altitude	æltɪtud
off	ɔf
juryman	dʒʊrimən
electrolier	ɪlɛktrəlɪr
underscore	ʌndərskɔr
reimplant	riɪmplænt
virility	vɪrɪləti
immeasurability	ɪmɛʒərəbɪləti
toga	toʊgə
despotism	dɛspətɪzəm
define	dɪfaɪn
elsewhere	ɛlswɛr
into	ɪntu
volume	vɒljum
clearance	klɪrəns
deliberative	dɪlɪbərətɪv
fan	fæn
crate	kreɪt
wrangler	ræŋglər
solidity	səlɪdəti
belligerent	bəlɪdʒərənt
